Id,Label,main_country,Type
0GOx72r5AAEKRGQFn3xqXK,GIMS,France,Artist
1cKyknhftNKXCjMBd2hDrG,DYSTINCT,Belgium,Artist
0LKAV3zJ8a8AIGnyc5OvfB,SDM,France,Artist
2loEsOijJ6XiGzWYFXMIRk,Adam Port,Belgium,Artist
26WKgv73kRHD0gEDKD1i8j,Keinemusik,Belgium,Artist
3IW7ScrzXmPvZhB27hmfgy,Jul,Belgium,Artist
2F3Mdh2idBVOiMTxXoxc10,MEAU,Belgium,Artist
0UF7XLthtbSF2Eur7559oV,Kavinsky,Belgium,Artist
3QVolfxko2UyCOtexhVTli,Angèle,Belgium,Artist
1xU878Z1QtBldR7ru9owdU,Phoenix,Belgium,Artist
5oNWzcU0mYK1zDUxBGHIaG,Hannah Mae,Belgium,Artist
5MraexJKZDrQYzS98kNwie,Sevdaliza,Belgium,Artist
6tzRZ39aZlNqlUzQlkuhDV,Pabllo Vittar,Belgium,Artist
1QsdzIKkTT5gDFj8GB1cIX,Yseult,Belgium,Artist
3TOqt5oJwL9BE2NG9MEwDa,Disturbed,Belgium,Artist
5wCmhq5J2hPwL2r0eKurxn,cassö,Belgium,Artist
5KKpBU5eC2tJDzf0wmlRp2,RAYE,Belgium,Artist
5VadK1havLhK1OpKYsXv9y,D-Block Europe,Belgium,Artist
07h4CCFmlXkwx0g4PL5Uuh,Guy2Bezbar,Belgium,Artist
5eir5zFJpES4j7gsymbVyl,Ronnie Flex,Netherlands,Artist
3JhNCzhSMTxs9WLGJJxWOY,Macklemore,Belgium,Artist
5BcAKTbp20cv7tC5VqPFoC,Macklemore & Ryan Lewis,Belgium,Artist
4e0nWw2r4BoQSKPQ2zpU13,Ray Dalton,Belgium,Artist
0fTSzq9jAh4c36UVb4V7CB,Alex Warren,Belgium,Artist
5JMJt80HJWR1e4hMw63Z5t,Luis Vega,Bolivia,Artist
1TA5sGRlKUJXBN4ZyJuDIX,Blessd,Colombia,Artist
3m5qlPf2OkihLz3dRYnkPA,Ovy On The Drums,Chile,Artist
1r4hJ1h58CWwUQe3MxPuau,Maluma,Bolivia,Artist
66ihevNkSYNzRAl44dx6jJ,Carin Leon,Costa Rica,Artist
1vyhD5VmyZ7KMfW5gqLgo5,J Balvin,Colombia,Artist
7j6DKwmjbxvpQO8h914uEz,Ryan Castro,Colombia,Artist
4q3ewBCX7sLwd24euuV69X,Bad Bunny,El Salvador,Artist
1fctva4kpRbg2k3v7kwRuS,Rvssian,Bolivia,Artist
1mcTU81TzQhprhouKaTkpq,Rauw Alejandro,Ecuador,Artist
1dKdetem2xEmjgvyymzytS,Grupo Firme,Bolivia,Artist
0dUyjgCyjfj5eMx6bX2TWf,FMK,Bolivia,Artist
2jSGzJw0ebJLu7OLVSOcBP,Plan B,El Salvador,Artist
12GqGscKJx3aE4t07u7eVZ,Peso Pluma,Mexico,Artist
5szJHKg5xeUlQ9pTqzdpic,Taiu,Bolivia,Artist
3qsKSpcV3ncke3hw52JSMB,Young Miko,Bolivia,Artist
0wdQR6Qd64uSVhNJy7M2F0,JAVVI ELIAS,Bolivia,Artist
6aoGgTKGqtsjj48ymcNs4Z,MC Tuto,Brazil,Artist
5Dz2FizMLqV0Cr3c8uhEcF,MC Cebezinho,Brazil,Artist
5InVWl8IZB8zFAoNa5roKm,Mc Kako,Brazil,Artist
59jlthNnbmim5l9tmNA7se,Maiara & Maraisa,Brazil,Artist
5wbf52LA6kcaboHSN6NEF1,PEDRO SAMPAIO,Brazil,Artist
0nFdWpwl7h6fp3ADRyG14L,Marina Sena,Brazil,Artist
2CKOmarVWvWqkNWUatHCex,Ana Castela,Brazil,Artist
0xj9MJx9r0wO2o4aqdergP,DJ TOPO,Brazil,Artist
7me0S5Z40qVWj3gzyK8aC3,Mc Livinho,Brazil,Artist
5s27i7oqhNWIcE4HeoVdq0,MC GP,Brazil,Artist
6XFc29m1ptfUNmaa1UTuBT,MC Joãozinho VT,Brazil,Artist
75i9GaW2MJUgt4BkdUnuUY,MC Ryan SP,Brazil,Artist
6zGPa2tLMJ5HQYUddZI8di,Caio Passos,Brazil,Artist
04QHNiih9ZesPvals6II1h,MC Marks,Brazil,Artist
2FDaBZt51fOXh2rbHL8Afr,Mc Magal,Brazil,Artist
0JRPF8WIKUtSO2IUYfrcuh,Kaique e Felipe,Brazil,Artist
6sW5k31iA8sTy0i2goUKF9,Oldilla,Brazil,Artist
2Z0lRIqr997lIUiPtrpKCr,Matheus & Kauan,Brazil,Artist
1LIuN7ov1IBQDdLsU83ojl,Hugo & Guilherme,Brazil,Artist
41QLxRXlc2NwfJZkHGHKid,Israel & Rodolffo,Brazil,Artist
1mV9h1AwhRXSjBFcYpajgY,Mc Lele JP,Brazil,Artist
6VyttZwyEMGBl90oGdKCB8,MC Leozinho ZS,Brazil,Artist
0bg3fNpRQgZTCAg3Bseyly,Mc Th,Brazil,Artist
5ZfBThYiIIhL7jHMG8gDB2,Ferrugem,Brazil,Artist
6qrqAYlS6lUj2BVXax7SZW,Mc Jacaré,Brazil,Artist
0vLuOi2k62sHujIfplInlK,Hungria,Brazil,Artist
7gZu6kPnY9enEi5FvgTO4F,Felipe e Rodrigo,Brazil,Artist
7gHzR22tDNSWGS4HkvvPgw,THE BOX,Brazil,Artist
1SZXYhJz4sqEss888VmWLP,Mc Brinquedo,Brazil,Artist
1JJq541frMPfUIQiUoVrnp,Mc Laranjinha,Brazil,Artist
0i1s9WcIu0PrUvHzALgofo,Seu Jorge,Brazil,Artist
