Source,Target,Weight
25uiPmTg16RbhZWAqwLBy5,pop,1
06HL4z0CvFAxyc27GXpf02,pop,1
4gvjmrtzydbMpyJaXUtwvP,pop,1
1WaFQSHVGZQJTbf0BdxdNo,hip hop,1
2kS9NyuATpYwjeB93h24H5,hip hop,1
2kS9NyuATpYwjeB93h24H5,pop,1
1E8mXBWN7AXZCOPYbOky4J,hip hop,1
3CJKkU0XuElRT1z8rEtIYg,hip hop,1
3CJKkU0XuElRT1z8rEtIYg,drill,1
76dRoxKtDwYkgCQePok9cU,hip hop,1
0JBdTCGs111JKKYfLqOEBa,rap,1
0JBdTCGs111JKKYfLqOEBa,hip hop,1
0JBdTCGs111JKKYfLqOEBa,pop,1
3drqpTL4sQOckmAfF9i1wg,hip hop,1
7vohy1W7YNLxHynG44UFjS,hip hop,1
7o95ZoZt5ZYn31e9z1Hc0a,pop,1
1SnSPHBs8l5iAvoWF0aO05,r&b,1
1SnSPHBs8l5iAvoWF0aO05,rap,1
1SnSPHBs8l5iAvoWF0aO05,hip hop,1
1SnSPHBs8l5iAvoWF0aO05,trap,1
13bDjug9N0pyv3ZUINjkDV,hip hop,1
5HK6QtizXJzCmoYTkvFRik,drill,1
5p7mWeX4RlvqBCxylfiXdE,hip hop,1
5p7mWeX4RlvqBCxylfiXdE,drill,1
11p2E654TTU8e0nZWBR4AL,pop,1
0wi4yTYlGtEnbGo4ltZTib,pop,1
0wi4yTYlGtEnbGo4ltZTib,rock,1
0rvjqX7ttXeg3mTy8Xscbt,rock,1
5WUlDfRSoLAfcVSX1WnrxN,pop,1
1fImPZoBVjmYrBFzCHh0N3,hip hop,1
0xByDfltDVpk6LDsUMHyI2,pop,1
5xtbUYHaOycg6HIi10EZdV,hip hop,1
5NMwoStnfHT4LdETlJSwDT,rap,1
5NMwoStnfHT4LdETlJSwDT,hip hop,1
5NMwoStnfHT4LdETlJSwDT,trap,1
4jIvmo6hfAQ04NSOWPVVA3,pop,1
5B5qmrbTFvA7TAxWruuwbo,rap,1
5B5qmrbTFvA7TAxWruuwbo,hip hop,1
2hTmpvdwhpNZryOkwTisRW,hip hop,1
6HaGTQPmzraVmaVxvz6EUc,k-pop,1
6HaGTQPmzraVmaVxvz6EUc,pop,1
3MdXrJWsbVzdn6fe5JYkSQ,rap,1
3MdXrJWsbVzdn6fe5JYkSQ,trap,1
260kWe4y9lg7YFDsZBgsLv,pop,1
2z20q6EEfm6w6PiIKsgtb3,rap,1
2z20q6EEfm6w6PiIKsgtb3,hip hop,1
2z20q6EEfm6w6PiIKsgtb3,trap,1
0yp6xP5xe1qarfugfTixOK,pop,1
0E56Ncr2I37JQhW71UJALE,rap,1
0E56Ncr2I37JQhW71UJALE,hip hop,1
27kGBCjiz5OXojkKX4xQ6R,rap,1
27kGBCjiz5OXojkKX4xQ6R,hip hop,1
27kGBCjiz5OXojkKX4xQ6R,drill,1
27kGBCjiz5OXojkKX4xQ6R,trap,1
4h8pGxEIOi7j4me1yhYxlD,hip hop,1
4h8pGxEIOi7j4me1yhYxlD,pop,1
7K2PBAFUE98RKu30clhIms,pop,1
3vvLuXEEf7sl3izJcw0GIn,rap,1
3vvLuXEEf7sl3izJcw0GIn,hip hop,1
3vvLuXEEf7sl3izJcw0GIn,trap,1
0XNKQFs2Ewb3y0VsFUFc5l,rap,1
0XNKQFs2Ewb3y0VsFUFc5l,hip hop,1
0XNKQFs2Ewb3y0VsFUFc5l,trap,1
0hAEtx2GQLtMTJj8qycHRr,hip hop,1
4uWhcZCwuPopf6JGvwsN2B,pop,1
0ChMIwzbYxHbebgoPeETfV,hip hop,1
7bI1v9NGBBhq8iGfytctni,country,1
1nnaE1FllcW0TlDdPVmdPg,hip hop,1
3I9Bd4StaxvFWPG9AAjlrO,rap,1
3I9Bd4StaxvFWPG9AAjlrO,hip hop,1
6iQqWcDg92kre5ykFLwqD8,rock,1
0GOx72r5AAEKRGQFn3xqXK,r&b,1
0GOx72r5AAEKRGQFn3xqXK,rap,1
0GOx72r5AAEKRGQFn3xqXK,hip hop,1
0GOx72r5AAEKRGQFn3xqXK,pop,1
1cKyknhftNKXCjMBd2hDrG,rap,1
1cKyknhftNKXCjMBd2hDrG,hip hop,1
0LKAV3zJ8a8AIGnyc5OvfB,r&b,1
0LKAV3zJ8a8AIGnyc5OvfB,hip hop,1
0LKAV3zJ8a8AIGnyc5OvfB,pop,1
2loEsOijJ6XiGzWYFXMIRk,house,1
26WKgv73kRHD0gEDKD1i8j,house,1
3IW7ScrzXmPvZhB27hmfgy,rap,1
3IW7ScrzXmPvZhB27hmfgy,hip hop,1
3IW7ScrzXmPvZhB27hmfgy,pop,1
2F3Mdh2idBVOiMTxXoxc10,pop,1
0UF7XLthtbSF2Eur7559oV,house,1
3QVolfxko2UyCOtexhVTli,pop,1
1xU878Z1QtBldR7ru9owdU,rock,1
1xU878Z1QtBldR7ru9owdU,pop,1
5oNWzcU0mYK1zDUxBGHIaG,pop,1
5MraexJKZDrQYzS98kNwie,r&b,1
6tzRZ39aZlNqlUzQlkuhDV,pop,1
6tzRZ39aZlNqlUzQlkuhDV,funk,1
1QsdzIKkTT5gDFj8GB1cIX,r&b,1
1QsdzIKkTT5gDFj8GB1cIX,pop,1
3TOqt5oJwL9BE2NG9MEwDa,rap,1
3TOqt5oJwL9BE2NG9MEwDa,rock,1
5wCmhq5J2hPwL2r0eKurxn,pop,1
5KKpBU5eC2tJDzf0wmlRp2,r&b,1
5KKpBU5eC2tJDzf0wmlRp2,pop,1
5VadK1havLhK1OpKYsXv9y,hip hop,1
5VadK1havLhK1OpKYsXv9y,drill,1
07h4CCFmlXkwx0g4PL5Uuh,rap,1
07h4CCFmlXkwx0g4PL5Uuh,hip hop,1
07h4CCFmlXkwx0g4PL5Uuh,pop,1
5eir5zFJpES4j7gsymbVyl,rap,1
5eir5zFJpES4j7gsymbVyl,hip hop,1
5eir5zFJpES4j7gsymbVyl,pop,1
3JhNCzhSMTxs9WLGJJxWOY,rap,1
3JhNCzhSMTxs9WLGJJxWOY,hip hop,1
3JhNCzhSMTxs9WLGJJxWOY,pop,1
5BcAKTbp20cv7tC5VqPFoC,rap,1
5BcAKTbp20cv7tC5VqPFoC,hip hop,1
5BcAKTbp20cv7tC5VqPFoC,pop,1
4e0nWw2r4BoQSKPQ2zpU13,pop,1
0fTSzq9jAh4c36UVb4V7CB,pop,1
5JMJt80HJWR1e4hMw63Z5t,pop,1
1TA5sGRlKUJXBN4ZyJuDIX,urbano latino,1
3m5qlPf2OkihLz3dRYnkPA,rap,1
3m5qlPf2OkihLz3dRYnkPA,urbano latino,1
3m5qlPf2OkihLz3dRYnkPA,pop,1
3m5qlPf2OkihLz3dRYnkPA,trap,1
1r4hJ1h58CWwUQe3MxPuau,rap,1
1r4hJ1h58CWwUQe3MxPuau,urbano latino,1
1r4hJ1h58CWwUQe3MxPuau,pop,1
1r4hJ1h58CWwUQe3MxPuau,trap,1
66ihevNkSYNzRAl44dx6jJ,corrido,1
66ihevNkSYNzRAl44dx6jJ,sierreno,1
1vyhD5VmyZ7KMfW5gqLgo5,rap,1
1vyhD5VmyZ7KMfW5gqLgo5,urbano latino,1
1vyhD5VmyZ7KMfW5gqLgo5,trap,1
7j6DKwmjbxvpQO8h914uEz,rap,1
7j6DKwmjbxvpQO8h914uEz,urbano latino,1
7j6DKwmjbxvpQO8h914uEz,trap,1
4q3ewBCX7sLwd24euuV69X,rap,1
4q3ewBCX7sLwd24euuV69X,urbano latino,1
4q3ewBCX7sLwd24euuV69X,trap,1
1fctva4kpRbg2k3v7kwRuS,rap,1
1fctva4kpRbg2k3v7kwRuS,urbano latino,1
1fctva4kpRbg2k3v7kwRuS,trap,1
1mcTU81TzQhprhouKaTkpq,rap,1
1mcTU81TzQhprhouKaTkpq,urbano latino,1
1mcTU81TzQhprhouKaTkpq,pop,1
1mcTU81TzQhprhouKaTkpq,trap,1
1dKdetem2xEmjgvyymzytS,sierreno,1
0dUyjgCyjfj5eMx6bX2TWf,rap,1
0dUyjgCyjfj5eMx6bX2TWf,trap,1
2jSGzJw0ebJLu7OLVSOcBP,rap,1
2jSGzJw0ebJLu7OLVSOcBP,urbano latino,1
