position,title,artists_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,country
24,Uige,[47UTUDCdtoo8P4YQAq9uFr],0.685,0.842,6,-7.422,0,0.0783,0.3,0.00173,0.0709,0.493,98.088,audio_features,3TVa1q0P1yKc8nOmcyXMV9,spotify:track:3TVa1q0P1yKc8nOmcyXMV9,https://api.spotify.com/v1/tracks/3TVa1q0P1yKc8nOmcyXMV9,https://api.spotify.com/v1/audio-analysis/3TVa1q0P1yKc8nOmcyXMV9,149388,4,Kazakhstan
25,Алмата-Семей,[6XlJ3b8DflSGBQmAOd38aj],0.862,0.523,8,-4.814,0,0.0694,0.137,0.00455,0.292,0.721,160.134,audio_features,41gRAnGJ3hyF0GLMe4Rx4h,spotify:track:41gRAnGJ3hyF0GLMe4Rx4h,https://api.spotify.com/v1/tracks/41gRAnGJ3hyF0GLMe4Rx4h,https://api.spotify.com/v1/audio-analysis/41gRAnGJ3hyF0GLMe4Rx4h,160508,4,Kazakhstan
26,VAPO NO SETOR,"[3wQNcarvRuzhz2Fg1pVDxZ, 1nzIoHG5B7klgAPdwjqRDj]",0.972,0.698,4,-4.931,1,0.25,0.252,0.0,0.0827,0.971,130.066,audio_features,25MzUGleMnmyoeTNRZ8QF1,spotify:track:25MzUGleMnmyoeTNRZ8QF1,https://api.spotify.com/v1/tracks/25MzUGleMnmyoeTNRZ8QF1,https://api.spotify.com/v1/audio-analysis/25MzUGleMnmyoeTNRZ8QF1,67596,4,Kazakhstan
27,BIRDS OF A FEATHER,[6qqNVTkY8uBg9cP3Jd7DAH],0.747,0.507,2,-10.171,1,0.0358,0.2,0.0608,0.117,0.438,104.978,audio_features,6dOtVTDdiauQNBQEDOtlAB,spotify:track:6dOtVTDdiauQNBQEDOtlAB,https://api.spotify.com/v1/tracks/6dOtVTDdiauQNBQEDOtlAB,https://api.spotify.com/v1/audio-analysis/6dOtVTDdiauQNBQEDOtlAB,210373,4,Kazakhstan
28,Control,"[3JLa8aXwsmX727vtb4bPUi, 7ANOnrs1reQqbI9CGpQCQy, 6cT1f8NElnobV4XpJc6lWQ]",0.882,0.454,10,-10.248,0,0.234,0.679,0.0,0.111,0.309,96.054,audio_features,78KGC4jx5887hQpWEbaXK0,spotify:track:78KGC4jx5887hQpWEbaXK0,https://api.spotify.com/v1/tracks/78KGC4jx5887hQpWEbaXK0,https://api.spotify.com/v1/audio-analysis/78KGC4jx5887hQpWEbaXK0,230000,4,Kazakhstan
29,Sweater Weather,[77SW9BnxLY8rJ0RciFqkHh],0.612,0.807,10,-2.81,1,0.0336,0.0495,0.0177,0.101,0.398,124.053,audio_features,2QjOHCTQ1Jl3zawyYOpxh6,spotify:track:2QjOHCTQ1Jl3zawyYOpxh6,https://api.spotify.com/v1/tracks/2QjOHCTQ1Jl3zawyYOpxh6,https://api.spotify.com/v1/audio-analysis/2QjOHCTQ1Jl3zawyYOpxh6,240400,4,Kazakhstan
30,Lost Angeles,[5xtbUYHaOycg6HIi10EZdV],0.788,0.544,7,-9.738,0,0.324,0.141,0.0,0.0947,0.411,75.474,audio_features,11gTRcdz4wK32fghA2vrX7,spotify:track:11gTRcdz4wK32fghA2vrX7,https://api.spotify.com/v1/tracks/11gTRcdz4wK32fghA2vrX7,https://api.spotify.com/v1/audio-analysis/11gTRcdz4wK32fghA2vrX7,114437,4,Kazakhstan
31,"One Of The Girls (with JENNIE, Lily Rose Depp)","[1Xyo4u8uXC1ZmMpatF05PJ, 250b0Wlc5Vk0CoUsaCY84M, 1pBLC0qVRTB5zVMuteQ9jJ]",0.264,0.64,8,-6.221,1,0.0442,0.0393,2e-06,0.151,0.19,84.828,audio_features,7CyPwkp0oE8Ro9Dd5CUDjW,spotify:track:7CyPwkp0oE8Ro9Dd5CUDjW,https://api.spotify.com/v1/tracks/7CyPwkp0oE8Ro9Dd5CUDjW,https://api.spotify.com/v1/audio-analysis/7CyPwkp0oE8Ro9Dd5CUDjW,244685,4,Kazakhstan
32,Val's,[1e9PC6DAoGYlg0r6Q1VWcI],0.358,0.341,5,-11.143,0,0.0292,0.897,0.000344,0.141,0.365,185.982,audio_features,7mNVbhWniiLUgSOYgggNbT,spotify:track:7mNVbhWniiLUgSOYgggNbT,https://api.spotify.com/v1/tracks/7mNVbhWniiLUgSOYgggNbT,https://api.spotify.com/v1/audio-analysis/7mNVbhWniiLUgSOYgggNbT,183871,3,Kazakhstan
33,Mahabbatym,[1bYE7N4miu1B9YOETbsxc4],0.42,0.0953,0,-17.24,1,0.0418,0.8,0.000188,0.353,0.273,120.634,audio_features,4T3ssJ7h388Hif7k1I3wUa,spotify:track:4T3ssJ7h388Hif7k1I3wUa,https://api.spotify.com/v1/tracks/4T3ssJ7h388Hif7k1I3wUa,https://api.spotify.com/v1/audio-analysis/4T3ssJ7h388Hif7k1I3wUa,180597,4,Kazakhstan
34,Дома,[5u6VEc0OwUChkBhYfAcSWS],0.779,0.656,6,-6.769,0,0.0839,0.0559,1e-06,0.111,0.428,87.997,audio_features,7pMxLK5v1PLtqZqYRtnqqK,spotify:track:7pMxLK5v1PLtqZqYRtnqqK,https://api.spotify.com/v1/tracks/7pMxLK5v1PLtqZqYRtnqqK,https://api.spotify.com/v1/audio-analysis/7pMxLK5v1PLtqZqYRtnqqK,220909,4,Kazakhstan
35,Kobelek,[4GQp7nMuGPcy2EgiWV2GoK],0.81,0.438,10,-8.106,1,0.0624,0.0953,7.6e-05,0.092,0.147,132.954,audio_features,2WTfb6QxijezJP8GYidHRo,spotify:track:2WTfb6QxijezJP8GYidHRo,https://api.spotify.com/v1/tracks/2WTfb6QxijezJP8GYidHRo,https://api.spotify.com/v1/audio-analysis/2WTfb6QxijezJP8GYidHRo,250827,4,Kazakhstan
36,Dark Red,[57vWImR43h4CaDao012Ofp],0.603,0.784,6,-4.023,1,0.062,0.446,8e-06,0.119,0.769,172.041,audio_features,3EaJDYHA0KnX88JvDhL9oa,spotify:track:3EaJDYHA0KnX88JvDhL9oa,https://api.spotify.com/v1/tracks/3EaJDYHA0KnX88JvDhL9oa,https://api.spotify.com/v1/audio-analysis/3EaJDYHA0KnX88JvDhL9oa,173104,4,Kazakhstan
37,Летали,[1nQdZyarkEApwhC24Ftdpk],0.779,0.552,6,-5.764,0,0.0489,0.51,0.698,0.0896,0.0665,99.997,audio_features,0LdDBjHLVBRzc9BY5wA030,spotify:track:0LdDBjHLVBRzc9BY5wA030,https://api.spotify.com/v1/tracks/0LdDBjHLVBRzc9BY5wA030,https://api.spotify.com/v1/audio-analysis/0LdDBjHLVBRzc9BY5wA030,187200,4,Kazakhstan
38,Сирень,[5TZ0uM0InXX4LtI8hTsXlv],0.777,0.498,0,-7.709,0,0.0477,0.734,5e-06,0.0861,0.222,130.008,audio_features,5i3H6himHZaKZT3Dk8lr8Z,spotify:track:5i3H6himHZaKZT3Dk8lr8Z,https://api.spotify.com/v1/tracks/5i3H6himHZaKZT3Dk8lr8Z,https://api.spotify.com/v1/audio-analysis/5i3H6himHZaKZT3Dk8lr8Z,192116,4,Kazakhstan
39,Aiga qarap,[47UTUDCdtoo8P4YQAq9uFr],0.587,0.854,2,-5.606,0,0.0541,0.19,8e-06,0.078,0.698,89.986,audio_features,0Wq7dV7Oi0cGJQ2xG1qdux,spotify:track:0Wq7dV7Oi0cGJQ2xG1qdux,https://api.spotify.com/v1/tracks/0Wq7dV7Oi0cGJQ2xG1qdux,https://api.spotify.com/v1/audio-analysis/0Wq7dV7Oi0cGJQ2xG1qdux,197834,4,Kazakhstan
40,Embrace It,[5HK6QtizXJzCmoYTkvFRik],0.882,0.645,1,-7.233,1,0.0601,0.475,4.1e-05,0.057,0.788,114.933,audio_features,0io16MKpbeDIdYzmGpQaES,spotify:track:0io16MKpbeDIdYzmGpQaES,https://api.spotify.com/v1/tracks/0io16MKpbeDIdYzmGpQaES,https://api.spotify.com/v1/audio-analysis/0io16MKpbeDIdYzmGpQaES,104419,4,Kazakhstan
