artists,followers,genres,name,popularity
2UNjfzEkfsdWVDwnuD6vdH,3760,,bbyclose,70
4j96cMcT8GRi11qbvo1cLQ,203337,,Michael Marcagi,73
08GQAI4eElDnROBrJRGE0X,12331601,"album rock, classic rock, rock, soft rock, yacht rock",Fleetwood Mac,83
10exVja0key0uqUkk6LJRT,3212218,"folk-pop, modern rock",Vance Joy,78
25uiPmTg16RbhZWAqwLBy5,4464342,"art pop, candy pop, metropopolis, pop, uk pop",Charli xcx,87
06HL4z0CvFAxyc27GXpf02,126653193,pop,Taylor Swift,100
4gvjmrtzydbMpyJaXUtwvP,501399,social media pop,Addison Rae,76
1WaFQSHVGZQJTbf0BdxdNo,765305,chill abstract hip hop,Tommy Richman,78
0PCCGZ0wGLizHt2KZ7hhA2,1006806,,Artemas,79
2kS9NyuATpYwjeB93h24H5,792705,"german pop, hamburg hip hop",Nina Chuba,72
1E8mXBWN7AXZCOPYbOky4J,402570,german hip hop,Jazeek,74
4iHNK0tOyZPYnBU7nGAgpQ,10658809,"dance pop, pop, urban contemporary",Mariah Carey,83
5lpH0xAS4fVfLkACg9DAuM,2851074,"new romantic, new wave, new wave pop, soft rock",Wham!,77
artists,followers,genres,name,popularity
7rBed6Ya7Hwa2fXbh5btJE,185513,,LACAZETTE,73
3CJKkU0XuElRT1z8rEtIYg,2341025,"german drill, german hip hop",Luciano,76
76dRoxKtDwYkgCQePok9cU,163690,german hip hop,Miksu / Macloud,70
0JBdTCGs111JKKYfLqOEBa,966152,"frauenrap, german hip hop, german pop",Shirin David,68
3drqpTL4sQOckmAfF9i1wg,1114828,german hip hop,Summer Cem,69
72y6W9pGy97xTM44dwy3F6,68575,,BILLA JOE,63
7vohy1W7YNLxHynG44UFjS,55172,german hip hop,Sampagne,64
7o95ZoZt5ZYn31e9z1Hc0a,1833513,"dance pop, pop, post-teen pop",Natasha Bedingfield,75
1oSPZhvZMIrWW5I41kPkkY,9730442,k-pop,Jimin,88
1SnSPHBs8l5iAvoWF0aO05,73605,"german hip hop, german r&b, german trap",FOURTY,63
13bDjug9N0pyv3ZUINjkDV,1096981,german hip hop,Bausa,70
61vhXXSO0lkbxFvnXHx8QP,490,,CHEKAA,58
5HK6QtizXJzCmoYTkvFRik,138296,chill drill,Ndotz,74
5p7mWeX4RlvqBCxylfiXdE,1183819,"german drill, german hip hop",KC Rebell,66
77SW9BnxLY8rJ0RciFqkHh,18605197,"modern alternative rock, modern rock, pop",The Neighbourhood,86
11p2E654TTU8e0nZWBR4AL,536149,singer-songwriter pop,Mark Ambor,76
0eVixEZVW2PB1UogwTWXc1,184540,,Berq,70
0wi4yTYlGtEnbGo4ltZTib,160717,"classic uk pop, rockabilly",Shakin' Stevens,65
0rvjqX7ttXeg3mTy8Xscbt,5828100,"album rock, classic rock, hard rock, mellow gold, rock, soft rock",Journey,76
5WUlDfRSoLAfcVSX1WnrxN,28965871,pop,Sia,86
1fImPZoBVjmYrBFzCHh0N3,114620,german hip hop,Souly,68
11kt6ggsdxvI8MhyeSMKom,297828,,CYRIL,80
49e4v89VmlDcFCMyDv9wQ9,1773439,"adult standards, easy listening, lounge, vocal jazz",Dean Martin,77
66CXWjxzNUsdJxJ2JdwvnR,101269752,pop,Ariana Grande,93
5ByAEWetNZ95GufzBSOkc3,41465,,fallen777angel,61
