Id,Label,Popularity,Followers,Type
2sil8z5kiy4r76CRTXxBCA,The Goo Goo Dolls,77,3018497,artist
0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,94,34910223,artist
0C0XlULifJtAgn6ZNCW2eu,The Killers,79,7573310,artist
6kbR2eL4hecj3rFwGOsYsI,BL3SS,71,24369,artist
20rKUmFZsfv9GBXiv6R9d6,CamrinWatsin,71,20319,artist
2UNjfzEkfsdWVDwnuD6vdH,bbyclose,71,3809,artist
4j96cMcT8GRi11qbvo1cLQ,Michael Marcagi,73,204956,artist
08GQAI4eElDnROBrJRGE0X,Fleetwood Mac,83,12364588,artist
10exVja0key0uqUkk6LJRT,Vance Joy,78,3219475,artist
25uiPmTg16RbhZWAqwLBy5,Charli xcx,87,4498935,artist
06HL4z0CvFAxyc27GXpf02,Taylor Swift,100,127212154,artist
4gvjmrtzydbMpyJaXUtwvP,Addison Rae,76,513902,artist
1WaFQSHVGZQJTbf0BdxdNo,Tommy Richman,78,770146,artist
0PCCGZ0wGLizHt2KZ7hhA2,Artemas,79,1014311,artist
2kS9NyuATpYwjeB93h24H5,Nina Chuba,73,798039,artist
1E8mXBWN7AXZCOPYbOky4J,Jazeek,74,408416,artist
7rBed6Ya7Hwa2fXbh5btJE,LACAZETTE,73,194344,artist
3CJKkU0XuElRT1z8rEtIYg,Luciano,76,2345395,artist
76dRoxKtDwYkgCQePok9cU,Miksu / Macloud,70,164138,artist
0JBdTCGs111JKKYfLqOEBa,Shirin David,68,970930,artist
3drqpTL4sQOckmAfF9i1wg,Summer Cem,69,1115910,artist
72y6W9pGy97xTM44dwy3F6,BILLA JOE,63,69061,artist
7vohy1W7YNLxHynG44UFjS,Sampagne,64,55628,artist
7o95ZoZt5ZYn31e9z1Hc0a,Natasha Bedingfield,75,1834715,artist
1SnSPHBs8l5iAvoWF0aO05,FOURTY,63,73952,artist
13bDjug9N0pyv3ZUINjkDV,Bausa,70,1097837,artist
61vhXXSO0lkbxFvnXHx8QP,CHEKAA,60,569,artist
5HK6QtizXJzCmoYTkvFRik,Ndotz,73,143398,artist
5p7mWeX4RlvqBCxylfiXdE,KC Rebell,65,1184620,artist
11p2E654TTU8e0nZWBR4AL,Mark Ambor,76,540241,artist
0eVixEZVW2PB1UogwTWXc1,Berq,70,188563,artist
0wi4yTYlGtEnbGo4ltZTib,Shakin' Stevens,68,161714,artist
0rvjqX7ttXeg3mTy8Xscbt,Journey,76,5843043,artist
5WUlDfRSoLAfcVSX1WnrxN,Sia,87,29008656,artist
1fImPZoBVjmYrBFzCHh0N3,Souly,69,117344,artist
11kt6ggsdxvI8MhyeSMKom,CYRIL,80,300616,artist
49e4v89VmlDcFCMyDv9wQ9,Dean Martin,80,1778710,artist
5ByAEWetNZ95GufzBSOkc3,fallen777angel,61,43283,artist
3JsHnjpbhX4SnySpvpa9DK,V,84,19186193,artist
0xByDfltDVpk6LDsUMHyI2,Poshlaya Molly,66,1663744,artist
4anb8rmk0xipuQP6QZ5IlH,FORTUNA 812,60,58769,artist
5xtbUYHaOycg6HIi10EZdV,FRIENDLY THUG 52 NGG,64,219141,artist
0TO6y1x0LQodwBnxGtQu9o,shadowraze,58,773500,artist
5NMwoStnfHT4LdETlJSwDT,Big Baby Tape,65,1482494,artist
4jIvmo6hfAQ04NSOWPVVA3,кис-кис,52,417408,artist
5B5qmrbTFvA7TAxWruuwbo,Aarne,63,192754,artist
2hTmpvdwhpNZryOkwTisRW,Toxi$,61,469810,artist
6HaGTQPmzraVmaVxvz6EUc,Jung Kook,87,16574156,artist
3MdXrJWsbVzdn6fe5JYkSQ,Latto,80,1836549,artist
0qyv7OappGDi0OyJxcqpVt,KRISTIEE,53,8111,artist
5GTZUVrKf86Aco9LJQquxc,mapt0v,61,31340,artist
0oSMgGNMeXe3HJAXEJrqL8,YungMeechy,44,1612,artist
260kWe4y9lg7YFDsZBgsLv,zhanulka,55,190352,artist
6Tv4ZrZbgUMcXAMv0d1VQM,fleurnothappy,55,11415,artist
1jUPTaRiy2sOdOhvIEUosG,ENINA,52,111415,artist
2z20q6EEfm6w6PiIKsgtb3,FACE,64,1831754,artist
0yp6xP5xe1qarfugfTixOK,Monetochka,59,974185,artist
0Kwx9LPnkelacgHzRI8vxl,Jakone,60,96191,artist
1EDrjPOlEjmbzjbet1DxTN,Kiliana,54,2767,artist
0E56Ncr2I37JQhW71UJALE,KRBK,62,351338,artist
6oiinpr7kwRmyWKVDTZgRT,AP$ENT,51,39294,artist
27kGBCjiz5OXojkKX4xQ6R,BUSHIDO ZHO,61,458422,artist
4h8pGxEIOi7j4me1yhYxlD,LSP,60,1226784,artist
7K2PBAFUE98RKu30clhIms,Violetta Sokolova,48,38417,artist
3vvLuXEEf7sl3izJcw0GIn,Skryptonite,64,2906670,artist
0P9E2MHee0cXNpIeAvFAt1,БРЕДИШЬ,50,53464,artist
6oTirjGdJPFt3hycC1Rfxb,Xolidayboy,52,46694,artist
0XNKQFs2Ewb3y0VsFUFc5l,MORGENSHTERN,60,2145846,artist
56wiPFJN2Z1PG1N8hGNYaD,mzlff,58,159620,artist
0hAEtx2GQLtMTJj8qycHRr,xxxmanera,55,214868,artist
4uWhcZCwuPopf6JGvwsN2B,ANIKV,52,95583,artist
0ChMIwzbYxHbebgoPeETfV,Lida,57,306537,artist
5IS4dQ9lDW01IY1buR7bW7,СЕРЕГА ПИРАТ,59,275575,artist
7bI1v9NGBBhq8iGfytctni,Squirrel Flower,48,44986,artist
1nnaE1FllcW0TlDdPVmdPg,Scally Milano,58,574158,artist
3I9Bd4StaxvFWPG9AAjlrO,uglystephan,55,296744,artist
6iQqWcDg92kre5ykFLwqD8,Дайте танк (!),59,772477,artist
0GOx72r5AAEKRGQFn3xqXK,GIMS,80,5186491,artist
1cKyknhftNKXCjMBd2hDrG,DYSTINCT,72,646898,artist
0LKAV3zJ8a8AIGnyc5OvfB,SDM,79,1425991,artist
2loEsOijJ6XiGzWYFXMIRk,Adam Port,77,224723,artist
6XjgqvaVLUib6lCerbZrYD,Stryv,75,12932,artist
26WKgv73kRHD0gEDKD1i8j,Keinemusik,78,357955,artist
2yyaNPcdxZcn4iutCcLMaC,Orso,75,1338,artist
37lTKHi901VnwngQ7C8noT,Malachiii,75,9354,artist
3IW7ScrzXmPvZhB27hmfgy,Jul,82,10659860,artist
3hWQDRr1PqwvnHeiZlucBq,Bouss,73,123258,artist
3zGV7t4BDmYZBLVA24487b,Pommelien Thijs,59,150167,artist
2F3Mdh2idBVOiMTxXoxc10,MEAU,60,184929,artist
0UF7XLthtbSF2Eur7559oV,Kavinsky,67,983203,artist
3QVolfxko2UyCOtexhVTli,Angèle,70,2746002,artist
1xU878Z1QtBldR7ru9owdU,Phoenix,68,1949990,artist
5oNWzcU0mYK1zDUxBGHIaG,Hannah Mae,62,42827,artist
5ncHUtKhiVsHlugFN0DCDl,MAKSIM,57,42751,artist
5MraexJKZDrQYzS98kNwie,Sevdaliza,76,749338,artist
6tzRZ39aZlNqlUzQlkuhDV,Pabllo Vittar,75,4301052,artist
1QsdzIKkTT5gDFj8GB1cIX,Yseult,74,278951,artist
3TOqt5oJwL9BE2NG9MEwDa,Disturbed,77,6987246,artist
5wCmhq5J2hPwL2r0eKurxn,cassö,70,75591,artist
5KKpBU5eC2tJDzf0wmlRp2,RAYE,80,1811332,artist
5VadK1havLhK1OpKYsXv9y,D-Block Europe,76,1597324,artist
07h4CCFmlXkwx0g4PL5Uuh,Guy2Bezbar,66,528138,artist
5eDdy8QxB47JsLASK2FI1m,Noano,58,17176,artist
5eir5zFJpES4j7gsymbVyl,Ronnie Flex,70,597519,artist
3JhNCzhSMTxs9WLGJJxWOY,Macklemore,78,2472207,artist
5mZJerulcERBZV7xnhrVp1,Ryan Lewis,72,1911,artist
