161,South Sudan,Top 50 - USA,37i9dQZEVXbLRQDuF5jeBp,spotify,Spotify
162,Spain,Top 50 - Spain,37i9dQZEVXbNFJfN1Vw8d9,spotify,Spotify
163,Sri Lanka,None,None,None,None
164,Sudan,Top 50 - USA,37i9dQZEVXbLRQDuF5jeBp,spotify,Spotify
165,Suriname,None,None,None,None
166,Sweden,Top 50 - Sweden,37i9dQZEVXbLoATJ81JYXz,spotify,Spotify
167,Switzerland,Top 50 - Switzerland,37i9dQZEVXbJiyhoAPEfMK,spotify,Spotify
168,Syria,AMV TOP 50 *update 2024*,1lZwG9hY4zOZQ0cuVfU0Mt,31v6vhsd626k5jhlwpy4fkdnfw4i,Rudy
169,Taiwan,Top 50 - Taiwan,37i9dQZEVXbMnZEatlMSiu,spotify,Spotify
170,Tajikistan,Top 50 - Global,37i9dQZEVXbMDoHDwVN2tF,spotify,Spotify
171,Tanzania,Top 50 - USA,37i9dQZEVXbLRQDuF5jeBp,spotify,Spotify
172,Thailand,Top 50 - Thailand,37i9dQZEVXbMnz8KIWsvf9,spotify,Spotify
173,Timor-Leste,Top 50 - Mexico,37i9dQZEVXbO3qyFxbkOE1,spotify,Spotify
174,Togo,None,None,None,None
175,Tonga,Maoli Mix,37i9dQZF1EIVtRZjWFXqee,spotify,Spotify
176,Trinidad and Tobago,Top 50 - USA,37i9dQZEVXbLRQDuF5jeBp,spotify,Spotify
177,Tunisia,Hot Hits Morocco,37i9dQZF1DWYHO8PTSQ9fM,spotify,Spotify
178,Turkey,Top 50 - Turkey,37i9dQZEVXbIVYVBNw9D5K,spotify,Spotify
179,Turkmenistan,Top 50 - USA,37i9dQZEVXbLRQDuF5jeBp,spotify,Spotify
180,Tuvalu,Top 50 - Mexico,37i9dQZEVXbO3qyFxbkOE1,spotify,Spotify
181,Uganda,None,None,None,None
182,Ukraine,Top 50 - Ukraine,37i9dQZEVXbKkidEfWYRuD,spotify,Spotify
183,United Arab Emirates,Top 50 - USA,37i9dQZEVXbLRQDuF5jeBp,spotify,Spotify
184,United Kingdom,Top 50 - United Kingdom,37i9dQZEVXbLnolsZ8PSNw,spotify,Spotify
