Source,Target,Weight
0EmeFodog0BfCgMzAIvKQp,Spain,1
4q3ewBCX7sLwd24euuV69X,Spain,1
2LRoIwlKmHjgvigdNGBHNo,Uruguay,2
0ZCO8oVkMj897cKgFH7fRW,Chile,1
2OhUNb01gLwygOizYvTm0e,Bolivia,2
0dUyjgCyjfj5eMx6bX2TWf,Paraguay,1
2x7PC78TmgqpEIjaGAZ0Oz,Spain,1
2jSGzJw0ebJLu7OLVSOcBP,Venezuela,1
7j6DKwmjbxvpQO8h914uEz,Uruguay,1
12GqGscKJx3aE4t07u7eVZ,Venezuela,1
18dspUI6gqabm5XCC2RcUD,Peru,1
19HM5j0ULGSmEoRcrSe5x3,Peru,1
5szJHKg5xeUlQ9pTqzdpic,Peru,1
4RWJOoYwgF978LOn8Fainp,Peru,1
3SCOuAxngTC1yGjKMcIPEd,Peru,1
12GqGscKJx3aE4t07u7eVZ,Peru,2
790FomKkXshlbRYZFtlgla,Switzerland,1
1DxLCyH42yaHKGK3cl5bvG,Bolivia,2
0OTHm6AFLxgeTm0gHNOuWi,Bolivia,1
7CvTknweLr9feJtRGrpDBy,Switzerland,1
3qsKSpcV3ncke3hw52JSMB,Venezuela,1
790FomKkXshlbRYZFtlgla,Spain,2
0tmwSHipWxN12fsoLcFU3B,Spain,4
1Yj5Xey7kTwvZla8sqdsdE,Spain,2
0wdQR6Qd64uSVhNJy7M2F0,Bolivia,1
6aoGgTKGqtsjj48ymcNs4Z,Brazil,6
6XX6KGpomRDPmGGm7bofCK,Brazil,1
3p7PcrEHaaKLJnPUGOtRlT,Brazil,3
6vTqEFbTtTRJsuIpzZgjxi,Brazil,1
7MiDcPa6UiV3In7lIM71IN,Brazil,1
