id,label,type,main_country
2FXC3k01G6Gw61bmprjgqS,Hozier,Artist,Australia
69GGBxA162lTqCwzJG5jLp,The Chainsmokers,Artist,Australia
3bO19AOone0ubCsfDXDtYt,Myles Smith,Artist,Australia
40ZNYROS4zLfyyBSs2PGe2,Zach Bryan,Artist,Canada
70kkdajctXSbqSMJbQO424,Kacey Musgraves,Artist,Australia
2sil8z5kiy4r76CRTXxBCA,The Goo Goo Dolls,Artist,Australia
0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,Artist,Bulgaria
0C0XlULifJtAgn6ZNCW2eu,The Killers,Artist,Australia
6kbR2eL4hecj3rFwGOsYsI,BL3SS,Artist,Australia
20rKUmFZsfv9GBXiv6R9d6,CamrinWatsin,Artist,Australia
2UNjfzEkfsdWVDwnuD6vdH,bbyclose,Artist,Australia
4j96cMcT8GRi11qbvo1cLQ,Michael Marcagi,Artist,Australia
08GQAI4eElDnROBrJRGE0X,Fleetwood Mac,Artist,Australia
10exVja0key0uqUkk6LJRT,Vance Joy,Artist,Australia
25uiPmTg16RbhZWAqwLBy5,Charli xcx,Artist,Australia
06HL4z0CvFAxyc27GXpf02,Taylor Swift,Artist,Australia
4gvjmrtzydbMpyJaXUtwvP,Addison Rae,Artist,Australia
1WaFQSHVGZQJTbf0BdxdNo,Tommy Richman,Artist,Australia
0PCCGZ0wGLizHt2KZ7hhA2,Artemas,Artist,Australia
2kS9NyuATpYwjeB93h24H5,Nina Chuba,Artist,Germany
1E8mXBWN7AXZCOPYbOky4J,Jazeek,Artist,Austria
7rBed6Ya7Hwa2fXbh5btJE,LACAZETTE,Artist,Germany
3CJKkU0XuElRT1z8rEtIYg,Luciano,Artist,Austria
76dRoxKtDwYkgCQePok9cU,Miksu / Macloud,Artist,Austria
0JBdTCGs111JKKYfLqOEBa,Shirin David,Artist,Austria
3drqpTL4sQOckmAfF9i1wg,Summer Cem,Artist,Austria
72y6W9pGy97xTM44dwy3F6,BILLA JOE,Artist,Austria
7vohy1W7YNLxHynG44UFjS,Sampagne,Artist,Austria
7o95ZoZt5ZYn31e9z1Hc0a,Natasha Bedingfield,Artist,Austria
1SnSPHBs8l5iAvoWF0aO05,FOURTY,Artist,Austria
13bDjug9N0pyv3ZUINjkDV,Bausa,Artist,Germany
61vhXXSO0lkbxFvnXHx8QP,CHEKAA,Artist,Austria
5HK6QtizXJzCmoYTkvFRik,Ndotz,Artist,Austria
5p7mWeX4RlvqBCxylfiXdE,KC Rebell,Artist,Austria
11p2E654TTU8e0nZWBR4AL,Mark Ambor,Artist,Austria
0eVixEZVW2PB1UogwTWXc1,Berq,Artist,Austria
0wi4yTYlGtEnbGo4ltZTib,Shakin' Stevens,Artist,Austria
0rvjqX7ttXeg3mTy8Xscbt,Journey,Artist,Austria
5WUlDfRSoLAfcVSX1WnrxN,Sia,Artist,Austria
1fImPZoBVjmYrBFzCHh0N3,Souly,Artist,Austria
11kt6ggsdxvI8MhyeSMKom,CYRIL,Artist,Belgium
49e4v89VmlDcFCMyDv9wQ9,Dean Martin,Artist,Austria
5ByAEWetNZ95GufzBSOkc3,fallen777angel,Artist,Belarus
3JsHnjpbhX4SnySpvpa9DK,V,Artist,Kazakhstan
0xByDfltDVpk6LDsUMHyI2,Poshlaya Molly,Artist,Belarus
4anb8rmk0xipuQP6QZ5IlH,FORTUNA 812,Artist,Belarus
5xtbUYHaOycg6HIi10EZdV,FRIENDLY THUG 52 NGG,Artist,Belarus
0TO6y1x0LQodwBnxGtQu9o,shadowraze,Artist,Belarus
5NMwoStnfHT4LdETlJSwDT,Big Baby Tape,Artist,Belarus
4jIvmo6hfAQ04NSOWPVVA3,кис-кис,Artist,Belarus
5B5qmrbTFvA7TAxWruuwbo,Aarne,Artist,Belarus
2hTmpvdwhpNZryOkwTisRW,Toxi$,Artist,Belarus
6HaGTQPmzraVmaVxvz6EUc,Jung Kook,Artist,Thailand
3MdXrJWsbVzdn6fe5JYkSQ,Latto,Artist,Belarus
