id_genre,id_artiste,pays
1796,616,El Salvador
1797,616,El Salvador
1798,616,El Salvador
1796,618,El Salvador
1798,618,El Salvador
1793,619,El Salvador
1794,619,El Salvador
1796,619,El Salvador
1798,619,El Salvador
1796,620,El Salvador
1796,621,El Salvador
1798,621,El Salvador
1793,622,El Salvador
1795,622,El Salvador
1797,622,El Salvador
1795,625,Estonia
1795,626,Estonia
1793,627,Latvia
1797,627,Latvia
1795,628,Estonia
1793,629,Estonia
1797,629,Estonia
1795,630,Estonia
1797,630,Estonia
1797,631,Estonia
1793,632,Estonia
1795,633,Estonia
1797,634,Estonia
1795,635,Estonia
1795,637,Saudi Arabia
1793,639,Estonia
1797,639,Estonia
1795,640,Estonia
1797,642,Estonia
1793,643,Finland
1794,643,Finland
1797,643,Finland
1793,644,Finland
1794,644,Finland
1800,644,Finland
1795,645,Finland
1797,646,Finland
1797,647,Finland
1795,649,Finland
1797,649,Finland
1795,650,Finland
1797,650,Finland
1795,651,Finland
1797,651,Finland
1797,652,Finland
1795,653,Finland
1797,653,Finland
1793,654,Finland
1794,654,Finland
1797,654,Finland
1800,656,Finland
1797,657,Finland
1800,658,Finland
1797,659,Finland
1795,660,Finland
1797,660,Finland
1793,661,Sweden
1795,661,Sweden
1795,662,Finland
1797,663,Finland
1795,664,Finland
1795,666,Finland
1795,667,Finland
1797,667,Finland
1795,668,Finland
1797,669,Finland
1795,672,Finland
1795,675,Finland
1799,675,Finland
1795,676,Finland
1799,676,Finland
1795,677,Finland
1797,679,Finland
1795,681,France
1797,681,France
1795,684,France
1795,685,France
1797,685,France
1795,686,France
1797,686,France
1795,687,France
1797,687,France
1795,688,France
1797,688,France
1793,693,France
1793,696,France
1795,696,France
1797,696,France
1793,697,France
1795,697,France
1797,697,France
1800,697,France
1795,698,France
1797,698,France
1793,703,France
1795,703,France
1797,703,France
1795,704,France
1797,704,France
1793,706,France
1795,706,France
1800,706,France
1795,707,France
1793,708,France
1795,708,France
1797,708,France
1795,710,France
1793,711,France
1795,711,France
1797,711,France
1795,712,France
1797,712,France
1795,714,Germany
1797,715,Germany
1797,716,Germany
1797,717,Germany
1797,718,Germany
1797,720,Germany
1797,722,Germany
1797,723,Germany
1793,724,Germany
1797,724,Germany
1793,725,Germany
1797,725,Germany
1795,727,Germany
1795,728,Germany
1797,728,Germany
1797,729,Germany
1797,731,Germany
1797,732,Germany
1797,733,Germany
1793,734,Germany
1797,734,Germany
1797,735,Germany
1793,737,Greece
1794,737,Greece
1793,740,Greece
1794,740,Greece
1800,740,Greece
1793,741,Greece
1794,741,Greece
1800,741,Greece
1793,743,Greece
1794,743,Greece
1797,743,Greece
1793,744,Greece
1795,744,Greece
1797,744,Greece
1793,745,Greece
1794,745,Greece
1793,747,Greece
1794,747,Greece
1800,747,Greece
1793,748,Greece
1794,748,Greece
1793,749,Greece
1794,749,Greece
1797,749,Greece
1793,750,Greece
1794,750,Greece
1797,750,Greece
1800,751,Greece
1800,752,Greece
1793,753,Greece
1794,753,Greece
1797,753,Greece
1793,756,Greece
1794,756,Greece
1797,756,Greece
1795,757,Greece
1795,758,Greece
1793,759,Greece
1794,759,Greece
1795,760,Greece
1793,761,Greece
1794,761,Greece
1797,761,Greece
1795,762,Greece
1793,768,Greece
1794,768,Greece
1793,770,Greece
1794,770,Greece
1795,770,Greece
1797,771,Greece
1793,773,Greece
1794,773,Greece
1800,773,Greece
1797,774,Greece
1800,774,Greece
1793,775,Greece
1794,775,Greece
1795,775,Greece
1797,775,Greece
1793,776,Greece
1794,776,Greece
1797,776,Greece
1793,777,Greece
