artist,genre,pays
SDM,hip hop,France
Hamza,hip hop,France
Hamza,hip hop,France
Imen Es,pop,France
Alonzo,hip hop,France
Abou Debeing,hip hop,France
Abou Debeing,hip hop,France
Werenoi,hip hop,France
Werenoi,hip hop,France
Linkin Park,rock,Estonia
Jazeek,hip hop,Germany
Summer Cem,hip hop,Germany
Summer Cem,hip hop,Germany
Shirin David,hip hop,Austria
Sampagne,hip hop,Austria
Nina Chuba,hip hop,Germany
Shirin David,hip hop,Austria
Shirin David,hip hop,Austria
Jazeek,hip hop,Germany
Luciano,drill,Germany
Miksu / Macloud,hip hop,Germany
Lady Gaga,pop,Luxembourg
Bruno Mars,pop,Netherlands
Bruno Mars,pop,Netherlands
KC Rebell,drill,Germany
ROSÉ,pop,Netherlands
Bruno Mars,pop,Netherlands
Linkin Park,rock,Estonia
Billie Eilish,pop,Poland
AYLIVA,pop,Germany
Apache 207,hip hop,Germany
Gigi Perez,pop,Netherlands
Gigi Perez,pop,Netherlands
Gigi Perez,pop,Netherlands
Mariah Carey,pop,Netherlands
FOURTY,hip hop,Austria
Bausa,hip hop,Germany
Bausa,hip hop,Germany
Wham!,rock,Luxembourg
Azet,hip hop,Switzerland
Azet,hip hop,Switzerland
Azet,hip hop,Switzerland
Bonez MC,hip hop,Germany
Benson Boone,pop,Slovakia
Linkin Park,rock,Czech Republic
The Weeknd,pop,Romania
Anitta,funk,Poland
Samra,hip hop,Germany
Samra,hip hop,Germany
Kurdo,hip hop,Germany
Kurdo,hip hop,Germany
AK AUSSERKONTROLLE,hip hop,Germany
KARDO,hip hop,Germany
VOLO,hip hop,Germany
The Weeknd,pop,Romania
Playboi Carti,hip hop,Poland
Travis Scott,rap,Latvia
Playboi Carti,hip hop,Norway
badchieff,hip hop,Germany
Bausa,hip hop,Austria
Bausa,hip hop,Austria
Topic,pop,Estonia
Arash,pop,Estonia
Arash,pop,Estonia
Billie Eilish,pop,Norway
Billie Eilish,pop,Norway
SANTOS,pop,Germany
Sido,hip hop,Germany
Souly,hip hop,Austria
Amo,hip hop,Germany
Amo,hip hop,Germany
Amo,hip hop,Germany
Amo,hip hop,Germany
Amo,hip hop,Germany
Amo,hip hop,Germany
Nimo,hip hop,Germany
Chappell Roan,pop,Switzerland
Chappell Roan,pop,Switzerland
GReeeN,hip hop,Germany
Shindy,hip hop,Germany
Ufo361,hip hop,Germany
Nina Chuba,hip hop,Germany
Natasha Bedingfield,pop,Germany
Sabrina Carpenter,pop,Poland
Dardan,hip hop,Germany
Mark Ambor,pop,Luxembourg
Mark Ambor,pop,Luxembourg
Roi 6/12,trap,Greece
Roi 6/12,trap,Greece
Roi 6/12,trap,Greece
Ivan Greko,drill,Greece
Trannos,drill,Greece
Trannos,drill,Greece
SNIK,hip hop,Greece
Marseaux,hip hop,Greece
APON,trap,Greece
APON,trap,Greece
Ivan Greko,drill,Greece
Ivan Greko,drill,Greece
Ivan Greko,drill,Greece
FLY LO,drill,Greece
Mike G,trap,Greece
Mad Clip,hip hop,Greece
Billy Sio,hip hop,Greece
FLY LO,drill,Greece
Strat,drill,Greece
RACK,drill,Greece
TOQUEL,hip hop,Greece
TOQUEL,hip hop,Greece
Roi 6/12,trap,Greece
SNIK,hip hop,Greece
SNIK,hip hop,Greece
The Weeknd,pop,Poland
Anitta,funk,Luxembourg
Saske,hip hop,Greece
Eleni Foureira,pop,Greece
LILA,pop,Greece
LILA,pop,Greece
Sin Laurent,trap,Greece
Konstantinos Argiros,pop,Greece
Light,hip hop,Greece
Light,hip hop,Greece
Light,hip hop,Greece
Anna Vissi,pop,Greece
Roi 6/12,trap,Greece
Roi 6/12,trap,Greece
Roi 6/12,trap,Greece
Roi 6/12,trap,Greece
Roi 6/12,trap,Greece
APON,trap,Greece
Ivan Greko,drill,Greece
SNIK,hip hop,Greece
SNIK,hip hop,Greece
SNIK,hip hop,Greece
SNIK,hip hop,Greece
SNIK,hip hop,Greece
SNIK,hip hop,Greece
SNIK,hip hop,Greece
SNIK,hip hop,Greece
SNIK,hip hop,Greece
SNIK,hip hop,Greece
Trannos,drill,Greece
Trannos,drill,Greece
TOQUEL,hip hop,Greece
FLY LO,drill,Greece
Baghdad,trap,Greece
RACK,drill,Greece
Light,hip hop,Greece
Light,hip hop,Greece
Light,hip hop,Greece
TOQUEL,hip hop,Greece
TOQUEL,hip hop,Greece
Melisses,pop,Greece
SNIK,hip hop,Greece
Franklin WWT,hip hop,Greece
Franklin WWT,hip hop,Greece
Sadam,drill,Greece
Dof Twogee,drill,Greece
Lady Gaga,pop,Lithuania
Bruno Mars,pop,Luxembourg
TOQUEL,hip hop,Greece
TOQUEL,hip hop,Greece
Marseaux,hip hop,Greece
Noizy,hip hop,Switzerland
Hawk,hip hop,Greece
Kidd,trap,Greece
Baghdad,trap,Greece
SIDARTA,trap,Greece
Ivan Greko,drill,Greece
Ivan Greko,drill,Greece
APON,trap,Greece
Eleni Foureira,pop,Greece
Saske,hip hop,Greece
Saske,hip hop,Greece
TOQUEL,hip hop,Greece
Sin Laurent,trap,Greece
Fy,trap,Greece
The Weeknd,pop,Poland
Playboi Carti,hip hop,Luxembourg
Trannos,drill,Greece
SNIK,hip hop,Greece
Anastasia,pop,Greece
DESH,hip hop,Hungary
Young Fly,hip hop,Hungary
Azahriah,pop,Hungary
DESH,hip hop,Hungary
Young Fly,hip hop,Hungary
