id_genre,id_artiste
pop,3QVolfxko2UyCOtexhVTli
pop,1xU878Z1QtBldR7ru9owdU
rock,1xU878Z1QtBldR7ru9owdU
pop,5oNWzcU0mYK1zDUxBGHIaG
r&b,5MraexJKZDrQYzS98kNwie
pop,6tzRZ39aZlNqlUzQlkuhDV
funk,6tzRZ39aZlNqlUzQlkuhDV
pop,1QsdzIKkTT5gDFj8GB1cIX
r&b,1QsdzIKkTT5gDFj8GB1cIX
rap,3TOqt5oJwL9BE2NG9MEwDa
rock,3TOqt5oJwL9BE2NG9MEwDa
pop,5wCmhq5J2hPwL2r0eKurxn
pop,5KKpBU5eC2tJDzf0wmlRp2
r&b,5KKpBU5eC2tJDzf0wmlRp2
hip hop,5VadK1havLhK1OpKYsXv9y
drill,5VadK1havLhK1OpKYsXv9y
hip hop,07h4CCFmlXkwx0g4PL5Uuh
pop,07h4CCFmlXkwx0g4PL5Uuh
rap,07h4CCFmlXkwx0g4PL5Uuh
hip hop,5eir5zFJpES4j7gsymbVyl
pop,5eir5zFJpES4j7gsymbVyl
rap,5eir5zFJpES4j7gsymbVyl
hip hop,3JhNCzhSMTxs9WLGJJxWOY
pop,3JhNCzhSMTxs9WLGJJxWOY
rap,3JhNCzhSMTxs9WLGJJxWOY
hip hop,5BcAKTbp20cv7tC5VqPFoC
pop,5BcAKTbp20cv7tC5VqPFoC
rap,5BcAKTbp20cv7tC5VqPFoC
pop,4e0nWw2r4BoQSKPQ2zpU13
pop,0fTSzq9jAh4c36UVb4V7CB
pop,5JMJt80HJWR1e4hMw63Z5t
urbano latino,1TA5sGRlKUJXBN4ZyJuDIX
pop,3m5qlPf2OkihLz3dRYnkPA
trap,3m5qlPf2OkihLz3dRYnkPA
rap,3m5qlPf2OkihLz3dRYnkPA
urbano latino,3m5qlPf2OkihLz3dRYnkPA
pop,1r4hJ1h58CWwUQe3MxPuau
trap,1r4hJ1h58CWwUQe3MxPuau
rap,1r4hJ1h58CWwUQe3MxPuau
urbano latino,1r4hJ1h58CWwUQe3MxPuau
corrido,66ihevNkSYNzRAl44dx6jJ
sierreno,66ihevNkSYNzRAl44dx6jJ
trap,1vyhD5VmyZ7KMfW5gqLgo5
rap,1vyhD5VmyZ7KMfW5gqLgo5
urbano latino,1vyhD5VmyZ7KMfW5gqLgo5
trap,7j6DKwmjbxvpQO8h914uEz
rap,7j6DKwmjbxvpQO8h914uEz
urbano latino,7j6DKwmjbxvpQO8h914uEz
trap,4q3ewBCX7sLwd24euuV69X
rap,4q3ewBCX7sLwd24euuV69X
urbano latino,4q3ewBCX7sLwd24euuV69X
trap,1fctva4kpRbg2k3v7kwRuS
rap,1fctva4kpRbg2k3v7kwRuS
urbano latino,1fctva4kpRbg2k3v7kwRuS
pop,1mcTU81TzQhprhouKaTkpq
trap,1mcTU81TzQhprhouKaTkpq
rap,1mcTU81TzQhprhouKaTkpq
urbano latino,1mcTU81TzQhprhouKaTkpq
sierreno,1dKdetem2xEmjgvyymzytS
trap,0dUyjgCyjfj5eMx6bX2TWf
rap,0dUyjgCyjfj5eMx6bX2TWf
trap,2jSGzJw0ebJLu7OLVSOcBP
rap,2jSGzJw0ebJLu7OLVSOcBP
urbano latino,2jSGzJw0ebJLu7OLVSOcBP
corrido,12GqGscKJx3aE4t07u7eVZ
sierreno,12GqGscKJx3aE4t07u7eVZ
trap,5szJHKg5xeUlQ9pTqzdpic
rap,5szJHKg5xeUlQ9pTqzdpic
trap,3qsKSpcV3ncke3hw52JSMB
rap,3qsKSpcV3ncke3hw52JSMB
urbano latino,3qsKSpcV3ncke3hw52JSMB
pop,0wdQR6Qd64uSVhNJy7M2F0
funk,6aoGgTKGqtsjj48ymcNs4Z
funk,5Dz2FizMLqV0Cr3c8uhEcF
funk,5InVWl8IZB8zFAoNa5roKm
pop,59jlthNnbmim5l9tmNA7se
funk,5wbf52LA6kcaboHSN6NEF1
pop,0nFdWpwl7h6fp3ADRyG14L
pop,2CKOmarVWvWqkNWUatHCex
funk,0xj9MJx9r0wO2o4aqdergP
funk,7me0S5Z40qVWj3gzyK8aC3
funk,5s27i7oqhNWIcE4HeoVdq0
funk,6XFc29m1ptfUNmaa1UTuBT
funk,75i9GaW2MJUgt4BkdUnuUY
funk,6zGPa2tLMJ5HQYUddZI8di
trap,6zGPa2tLMJ5HQYUddZI8di
rap,6zGPa2tLMJ5HQYUddZI8di
funk,04QHNiih9ZesPvals6II1h
funk,2FDaBZt51fOXh2rbHL8Afr
pop,0JRPF8WIKUtSO2IUYfrcuh
funk,6sW5k31iA8sTy0i2goUKF9
pop,2Z0lRIqr997lIUiPtrpKCr
pop,1LIuN7ov1IBQDdLsU83ojl
pop,41QLxRXlc2NwfJZkHGHKid
funk,1mV9h1AwhRXSjBFcYpajgY
funk,6VyttZwyEMGBl90oGdKCB8
funk,0bg3fNpRQgZTCAg3Bseyly
funk,5ZfBThYiIIhL7jHMG8gDB2
funk,6qrqAYlS6lUj2BVXax7SZW
trap,6qrqAYlS6lUj2BVXax7SZW
rap,6qrqAYlS6lUj2BVXax7SZW
hip hop,0vLuOi2k62sHujIfplInlK
rap,0vLuOi2k62sHujIfplInlK
pop,7gZu6kPnY9enEi5FvgTO4F
trap,7gHzR22tDNSWGS4HkvvPgw
rap,7gHzR22tDNSWGS4HkvvPgw
funk,1SZXYhJz4sqEss888VmWLP
