id,label,popularity,type,main_continent
6XFc29m1ptfUNmaa1UTuBT,MC Joãozinho VT,78.0,Artist,South America
3UfwtvPZZea2HHwI23VtKP,MC Vine7,71.0,Artist,South America
75i9GaW2MJUgt4BkdUnuUY,MC Ryan SP,85.0,Artist,South America
2VTYSgPG0HoSZ4YMx7EeFj,Mc Duzinho SP,64.0,Artist,South America
6zGPa2tLMJ5HQYUddZI8di,Caio Passos,67.0,Artist,South America
04QHNiih9ZesPvals6II1h,MC Marks,77.0,Artist,South America
7IOSPo9oGCLWtDEZtmxgTi,MC Bruno MS,69.0,Artist,South America
2FDaBZt51fOXh2rbHL8Afr,Mc Magal,70.0,Artist,South America
48yaM25WLHmQZXx5NN3DYH,Aaron Modesto,67.0,Artist,South America
1elUiq4X7pxej6FRlrEzjM,Jorge & Mateus,83.0,Artist,South America
0JRPF8WIKUtSO2IUYfrcuh,Kaique e Felipe,68.0,Artist,South America
5kVgcCdPbeUwxBqWxi2Ktl,Luan Pereira,80.0,Artist,South America
6sW5k31iA8sTy0i2goUKF9,Oldilla,71.0,Artist,South America
6VOn8xBJH73S7DN8VBAoaN,Deejhay RB,65.0,Artist,South America
2Z0lRIqr997lIUiPtrpKCr,Matheus & Kauan,80.0,Artist,South America
1LIuN7ov1IBQDdLsU83ojl,Hugo & Guilherme,80.0,Artist,South America
41QLxRXlc2NwfJZkHGHKid,Israel & Rodolffo,73.0,Artist,South America
1mV9h1AwhRXSjBFcYpajgY,Mc Lele JP,71.0,Artist,South America
6VyttZwyEMGBl90oGdKCB8,MC Leozinho ZS,67.0,Artist,South America
6wduHvHCH5QZtWs6ULilDM,Henry Freitas,73.0,Artist,South America
0bg3fNpRQgZTCAg3Bseyly,Mc Th,72.0,Artist,South America
5ZfBThYiIIhL7jHMG8gDB2,Ferrugem,78.0,Artist,South America
1fUSLFr4WUBx7joEcGwpvG,Sorriso Maroto,78.0,Artist,South America
37mqXU98U5GmH5ZDtlHM1c,Matheus Fernandes,71.0,Artist,South America
6qrqAYlS6lUj2BVXax7SZW,Mc Jacaré,72.0,Artist,South America
